INFO:root: timestamp: 2018-10-11 15:32:39.362596, status_code: 200, request_epoch_(sec): 0.04096794128417969
INFO:root: timestamp: 2018-10-11 15:32:42.368627, status_code: 200, request_epoch_(sec): 0.04134511947631836
INFO:root: timestamp: 2018-10-11 15:32:45.373659, status_code: 200, request_epoch_(sec): 0.04067802429199219
INFO:root: timestamp: 2018-10-11 15:32:48.376393, status_code: 200, request_epoch_(sec): 0.03999495506286621
INFO:root: timestamp: 2018-10-11 15:32:51.385940, status_code: 200, request_epoch_(sec): 0.04507899284362793
INFO:root: timestamp: 2018-10-11 15:32:54.384903, status_code: 200, request_epoch_(sec): 0.04248523712158203
INFO:root: timestamp: 2018-10-11 15:32:57.388614, status_code: 200, request_epoch_(sec): 0.04065203666687012
INFO:root: timestamp: 2018-10-11 15:33:00.390189, status_code: 200, request_epoch_(sec): 0.041619062423706055
INFO:root: timestamp: 2018-10-11 15:33:03.394998, status_code: 200, request_epoch_(sec): 0.04388689994812012
INFO:root: timestamp: 2018-10-11 15:33:06.396934, status_code: 200, request_epoch_(sec): 0.04112410545349121
INFO:root: timestamp: 2018-10-11 15:33:09.399006, status_code: 200, request_epoch_(sec): 0.04224991798400879
INFO:root: timestamp: 2018-10-11 15:33:12.407319, status_code: 200, request_epoch_(sec): 0.044812917709350586
INFO:root: timestamp: 2018-10-11 15:33:15.408919, status_code: 200, request_epoch_(sec): 0.04331016540527344
INFO:root: timestamp: 2018-10-11 15:33:18.425436, status_code: 200, request_epoch_(sec): 0.05568099021911621
INFO:root: timestamp: 2018-10-11 15:33:21.415991, status_code: 200, request_epoch_(sec): 0.041194915771484375
INFO:root: timestamp: 2018-10-11 15:33:24.439691, status_code: 200, request_epoch_(sec): 0.06324005126953125
INFO:root: timestamp: 2018-10-11 15:33:27.418897, status_code: 200, request_epoch_(sec): 0.03970193862915039
INFO:root: timestamp: 2018-10-11 15:33:30.423421, status_code: 200, request_epoch_(sec): 0.03992414474487305
INFO:root: timestamp: 2018-10-11 15:33:33.422352, status_code: 200, request_epoch_(sec): 0.03853631019592285
INFO:root: timestamp: 2018-10-11 15:33:36.429032, status_code: 200, request_epoch_(sec): 0.04076814651489258
INFO:root: timestamp: 2018-10-11 15:33:39.431819, status_code: 200, request_epoch_(sec): 0.040680885314941406
INFO:root: timestamp: 2018-10-11 15:33:42.435233, status_code: 200, request_epoch_(sec): 0.042829036712646484
INFO:root: timestamp: 2018-10-11 15:33:45.435252, status_code: 200, request_epoch_(sec): 0.04232192039489746
INFO:root: timestamp: 2018-10-11 15:33:48.441960, status_code: 200, request_epoch_(sec): 0.04480099678039551
INFO:root: timestamp: 2018-10-11 15:33:51.439780, status_code: 200, request_epoch_(sec): 0.0408320426940918
INFO:root: timestamp: 2018-10-11 15:33:54.440454, status_code: 200, request_epoch_(sec): 0.04113006591796875
INFO:root: timestamp: 2018-10-11 15:33:57.440893, status_code: 200, request_epoch_(sec): 0.040708065032958984
INFO:root: timestamp: 2018-10-11 15:34:00.440320, status_code: 200, request_epoch_(sec): 0.039964914321899414
INFO:root: timestamp: 2018-10-11 15:34:03.443635, status_code: 200, request_epoch_(sec): 0.04280710220336914
INFO:root: timestamp: 2018-10-11 15:34:06.444366, status_code: 200, request_epoch_(sec): 0.0379641056060791
INFO:root: timestamp: 2018-10-11 15:34:09.447638, status_code: 200, request_epoch_(sec): 0.03942704200744629
INFO:root: timestamp: 2018-10-11 15:34:12.456611, status_code: 200, request_epoch_(sec): 0.042948007583618164
INFO:root: timestamp: 2018-10-11 15:34:15.466127, status_code: 200, request_epoch_(sec): 0.052104949951171875
INFO:root: timestamp: 2018-10-11 15:34:18.458571, status_code: 200, request_epoch_(sec): 0.041396141052246094
INFO:root: timestamp: 2018-10-11 15:34:21.463984, status_code: 200, request_epoch_(sec): 0.043135881423950195
INFO:root: timestamp: 2018-10-11 15:34:24.467664, status_code: 200, request_epoch_(sec): 0.04582405090332031
